"year","month","day","dep_time","dep_delay","arr_time","arr_delay","carrier","tailnum","flight","origin","dest","air_time","distance","hour","minute","id"
2013,1,1,517,2,830,11,"UA","N14228",1545,"EWR","IAH",227,1400,5,17,1
2013,1,1,533,4,850,20,"UA","N24211",1714,"LGA","IAH",227,1416,5,33,2
2013,1,1,542,2,923,33,"AA","N619AA",1141,"JFK","MIA",160,1089,5,42,3
2013,1,1,544,-1,1004,-18,"B6","N804JB",725,"JFK","BQN",183,1576,5,44,4
2013,1,1,554,-6,812,-25,"DL","N668DN",461,"LGA","ATL",116,762,6,54,5
2013,1,1,554,-4,740,12,"UA","N39463",1696,"EWR","ORD",150,719,6,54,6
2013,1,1,555,-5,913,19,"B6","N516JB",507,"EWR","FLL",158,1065,6,55,7
2013,1,1,557,-3,709,-14,"EV","N829AS",5708,"LGA","IAD",53,229,6,57,8
2013,1,1,557,-3,838,-8,"B6","N593JB",79,"JFK","MCO",140,944,6,57,9
2013,1,1,558,-2,753,8,"AA","N3ALAA",301,"LGA","ORD",138,733,6,58,10
2013,1,1,558,-2,849,-2,"B6","N793JB",49,"JFK","PBI",149,1028,6,58,11
2013,1,1,558,-2,853,-3,"B6","N657JB",71,"JFK","TPA",158,1005,6,58,12
2013,1,1,558,-2,924,7,"UA","N29129",194,"JFK","LAX",345,2475,6,58,13
2013,1,1,558,-2,923,-14,"UA","N53441",1124,"EWR","SFO",361,2565,6,58,14
2013,1,1,559,-1,941,31,"AA","N3DUAA",707,"LGA","DFW",257,1389,6,59,15
2013,1,1,559,0,702,-4,"B6","N708JB",1806,"JFK","BOS",44,187,6,59,16
2013,1,1,559,-1,854,-8,"UA","N76515",1187,"EWR","LAS",337,2227,6,59,17
2013,1,1,600,0,851,-7,"B6","N595JB",371,"LGA","FLL",152,1076,6,0,18
2013,1,1,600,0,837,12,"MQ","N542MQ",4650,"LGA","ATL",134,762,6,0,19
2013,1,1,601,1,844,-6,"B6","N644JB",343,"EWR","PBI",147,1023,6,1,20
2013,1,1,602,-8,812,-8,"DL","N971DL",1919,"LGA","MSP",170,1020,6,2,21
2013,1,1,602,-3,821,16,"MQ","N730MQ",4401,"LGA","DTW",105,502,6,2,22
2013,1,1,606,-4,858,-12,"AA","N633AA",1895,"EWR","MIA",152,1085,6,6,23
2013,1,1,606,-4,837,-8,"DL","N3739P",1743,"JFK","ATL",128,760,6,6,24
2013,1,1,607,0,858,-17,"UA","N53442",1077,"EWR","MIA",157,1085,6,7,25
2013,1,1,608,8,807,32,"MQ","N9EAMQ",3768,"EWR","ORD",139,719,6,8,26
